name,url
flag-sj,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1ef.png
flag-sk,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1f0.png
flag-sl,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1f1.png
flag-sm,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1f2.png
flag-sn,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1f3.png
flag-so,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1f4.png
flag-sr,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1f7.png
flag-ss,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1f8.png
flag-st,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1f9.png
flag-sv,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1fb.png
flag-sx,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1fd.png
flag-sy,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1fe.png
flag-sz,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f8-1f1ff.png
flag-ta,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f9-1f1e6.png
flag-tc,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f9-1f1e8.png
flag-td,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f9-1f1e9.png
flag-tf,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f9-1f1eb.png
flag-tg,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f9-1f1ec.png
flag-th,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f9-1f1ed.png
flag-tj,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f9-1f1ef.png
flag-tk,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f9-1f1f0.png
flag-tl,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f9-1f1f1.png
flag-tm,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f9-1f1f2.png
flag-tn,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f9-1f1f3.png
flag-to,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f9-1f1f4.png
flag-tr,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f9-1f1f7.png
